Handle,Command,Title
single-stage-lp-to-natural-gas-conversion-kit-5-in-wc-to-7-in-wc-adjustment-includes-regulator-spring-o-ring-adjustment-screw-and-cap-screw,UPDATE,"Resideo Single Stage LP to Natural Gas Conversion Kit, 5 in WC to 7 in WC Adjustment, includes regulator spring, O-ring, adjustment screw and cap"
1-dialset-press-double-union-pressure-reducing-valve,UPDATE,"Resideo DS06-102-DUT-LF/U 1"" DialSet Press Double Union Pressure Reducing Valve"
high-or-low-limit-aquastat-range-130-270-f-adjustable-differential-spst-contacts-break-on-temperature-rise-remote-bulb-120-in-capillary-length,UPDATE,"Resideo High or Low Limit Aquastat, Range 130-270 °F, adjustable differential, SPST, contacts break on temperature rise, remote bulb, 120 in"
circulator-aquastat-range-100-240-f-adjustable-differential-spst-contacts-break-on-temperature-rise-remote-bulb-66-in-capillary-length,UPDATE,"Resideo Circulator Aquastat, Range 100-240 °F, adjustable differential, SPST, contacts break on temperature rise, remote bulb, 66 in capillary length"
high-limit-aquastat-controller-range-130-270-f-manual-reset-spst-contacts-break-on-temperature-rise-remote-bulb-66-in-capillary-length,UPDATE,"Resideo High Limit Aquastat Controller, Range 130-270 °F, manual reset, SPST, contacts break on temperature rise, remote bulb, 66 in capillary length"
circulator-aquastat-controller-high-or-low-limit-range-100-240-f-1-2-in-npt-fixed-differential-spst-no-terminals-break-on-temperature-rise,UPDATE,"Resideo Circulator Aquastat Controller, High or Low Limit, Range 100-240 °F, 1/2 in NPT, fixed differential, SPST, NO terminals break on temperature"
circulator-aquastat-controller-high-or-low-limit-range-100-240-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,UPDATE,"Resideo Circulator Aquastat Controller, High or Low Limit, Range 100-240 °F, adjustable differential, SPST, NO terminals break on temperature rise"
circulator-aquastat-controller-high-or-low-limit-range-65-200-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,UPDATE,"Resideo Circulator Aquastat Controller, High or Low Limit, Range 65-200 °F, adjustable differential, SPST, NO terminals break on temperature rise"
circulator-aquastat-controller-high-or-low-limit-range-100-200-f-adjustable-differential-spst-no-terminals-break-on-temperature-rise,UPDATE,"Resideo Circulator Aquastat Controller, High or Low Limit, Range 100-200 °F, adjustable differential, SPST, NO terminals break on temperature rise"
1-1-4-supervent-air-eliminator-sweat,UPDATE,"Resideo PV125/U 1-1/4"" SuperVent Air Eliminator Sweat"
1-1-2-press-supervent-air-eliminator,UPDATE,"Resideo PV150/U 1-1/2"" Press SuperVent Air Eliminator"
standing-pilot-burner-for-natural-gas-includes-an-a26-and-k14-orifices-1-in-batwing-tip-style-b-style-mounting-bracket-primary-aeration,UPDATE,"Resideo Standing Pilot Burner for Natural Gas, includes an A26 and K14 Orifices, 1 in Batwing Tip Style, B-Style Mounting Bracket, primary aeration"
pilot-burner-used-for-natural-gas-includes-a-bcr-18-orifice-left-single-tip-style-c-style-mounting-bracket-and-primary-aeration,UPDATE,"Resideo Pilot Burner, used for Natural Gas includes a BCR-18 Orifice, Left Single Tip Style, C-Style Mounting Bracket and primary aeration"
