sku,titulo,preco_usd,peso_antigo_lb,peso_novo_lb,perfil_atual,acao
BURN-208EN-G0,"US Boiler (Burnham) Series 2e - 241,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",5555.25,2.19,502.0,General,mover p/ THS Standard ou Freight
BURN-207EN-G0,"US Boiler (Burnham) Series 2e - 207,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",5064.69,2.19,458.0,General,mover p/ THS Standard ou Freight
BURN-206EN-G0,"US Boiler (Burnham) Series 2e - 172,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",4495.82,2.19,414.0,General,mover p/ THS Standard ou Freight
BURN-205EN-G0,"US Boiler (Burnham) Series 2e - 138,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",3905.49,2.19,354.0,General,mover p/ THS Standard ou Freight
BURN-203EN-G0,"US Boiler (Burnham) Series 2e - 69,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",3235.2,2.19,300.0,General,mover p/ THS Standard ou Freight
BURN-X-PV4P-T02,"US Boiler (Burnham) X-PV Series - 94,000 BTU Input - Cast Iron Sectional Power Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2,000'",5865.28,2.19,294.0,General,mover p/ THS Standard ou Freight
BURN-204EN-G0,"US Boiler (Burnham) Series 2e - 103,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",3472.65,2.19,292.0,General,mover p/ THS Standard ou Freight
LIBE-2448LSG202,"Liberty Pumps 2448LSG202 2 hp, Simplex Grinder Package 1PH, 208-230V, 1-1/4"" Discharge with 24"" x 48"" basin and standard alarm",6046.88,61.0,220.0,General,mover p/ THS Standard ou Freight
BURN-202EN-G0,"US Boiler (Burnham) Series 2e - 38,000 BTU Input - Cast Iron Sectional Chimney Vented Boiler, 84% efficient, includes Grundfos Pump - Elevation Range 0-2000'",2888.1,2.19,202.0,General,mover p/ THS Standard ou Freight
S&DT-BURN-202EN-GO,"US Boiler (Burnham) Scratched or Dented, Series 2 Gas Boiler 38,000 Elct Ign",1648.08,2.19,202.0,General,mover p/ THS Standard ou Freight
AMST-6400.001.020,American Standard 6400001.020 Stallbrook® 0.5 - 1.0 gpf (1.9 - 3.8 Lpf) Top Spud Urinal White,749.82,1.0,112.0,General,mover p/ THS Standard ou Freight
AMST-7695.008.020,American Standard 7695008.020 Akron® Wall-Hung Cast Iron Service Sink With 8-inch Faucet Holes and Rim Guard White,1073.55,1.0,109.0,General,mover p/ THS Standard ou Freight
ELKA-LZSTL8WSLK,Elkay LZSTL8WSLK ezH2O Bottle Filling Station & Versatile Bi-Level ADA Cooler Filtered Refrigerated Light Gray,3676.8,2.0,104.0,General,mover p/ THS Standard ou Freight
ELKA-LZS8WSLK,Elkay LZS8WSLK ezH2O Bottle Filling Station with Single ADA Cooler Filtered Refrigerated Light Gray,2636.87,2.0,85.0,General,mover p/ THS Standard ou Freight
LIBE-LSG202M,"Liberty Pumps LSG202M 2 HP, Grinder Pump, 1 PH, 208-230V, 25' Cord, 1-1/4"" Discharge, Manual",2445.95,61.0,84.0,General,mover p/ THS Standard ou Freight
LIBE-LSG203M,"Liberty Pumps LSG203M 2 HP, Grinder Pump, 3 PH, 208/230V, 25' Cord, 1-1/4"" Discharge, Manual",2576.25,61.0,84.0,General,mover p/ THS Standard ou Freight
ELKA-EZSTL8LC,Elkay EZSTL8LC Versatile Wall Mount Bi-level ADA Cooler Non-filtered Refrigerated Light Gray Granite,1706.68,2.0,83.0,General,mover p/ THS Standard ou Freight
AMST-6601.012.020,American Standard 6601012.020 Lynbrook® 1.0 gpf/3.8 Lpf Top Spud Blowout Urinal White,455.22,1.0,75.0,General,mover p/ THS Standard ou Freight
GVLF-7060-1000-PNTD,"Gruvlok 10"" Tee - Painted - GR x GR x GR",6251.7,0.52,74.47,General,mover p/ THS Standard ou Freight
AMST-9512.999.020,American Standard 9512999.020 Wall-Hung Clinic Service Sink White,1101.86,1.0,73.6,General,mover p/ THS Standard ou Freight
AMST-6561.017.020,American Standard 6561017.020 Trimbrook® 1.0 gpf/3.8 Lpf Top Spud Siphon Jet Urinal White,410.28,1.0,73.0,General,mover p/ THS Standard ou Freight
GVLF-768G-600-PNTD,"Gruvlok 6"" Wye Strainer - Painted - GR x GR",9686.2,3.0,72.4,General,mover p/ THS Standard ou Freight
GVLF-7060-1000-GALV,"Gruvlok 10"" Tee - Galvanized - GR x GR x GR",7814.1,0.5,72.0,General,mover p/ THS Standard ou Freight
AMST-6515.001.020,American Standard 6515001.020 Washbrook 0.125 -1.0 gpf (0.47 - 3.8 Lpf) Back Spud Urinal White,382.81,1.0,71.0,General,mover p/ THS Standard ou Freight
AMST-6590.001.020,American Standard 6590001.020 Washbrook® 0.125 - 1.0 gpf (0.47 - 3.8 Lpf) Top Spud Urinal White,306.25,1.0,71.0,General,mover p/ THS Standard ou Freight
