Handle,Command,Variant Command,Variant SKU,Variant Weight,Variant Weight Unit
2-x-250-gas-pipe-hdpe-4710-sdr-11-cengas,UPDATE,UPDATE,HDPE-GASH0110200250,157.50,lb
2-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,UPDATE,UPDATE,MDPE-1002278,157.50,lb
1-1-2-x-300-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-150-250/300,172.50,lb
2-x-300-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-200-250/300,283.50,lb
3-4-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,UPDATE,UPDATE,MDPE-1002239,30.00,lb
1-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,UPDATE,UPDATE,MDPE-1031252,47.50,lb
1-1-4-x-250-poly-pipe-mdpe-2708-sdr-11-cengas,UPDATE,UPDATE,MDPE-GASM01001250250,82.50,lb
3-4-x-100-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-075-250/100,20.00,lb
3-4-x-300-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-075-250/300,60.00,lb
1-x-100-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-100-250/100,24.50,lb
1-x-300-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-100-250/300,73.50,lb
1-1-4-x-100-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-125-250/100,42.00,lb
1-1-4-x-300-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-125-250/300,126.00,lb
1-1-2-x-100-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-150-250/100,57.50,lb
2-x-100-poly-pipe-250-psi-sidr-7-cenflo,UPDATE,UPDATE,POLY-200-250/100,94.50,lb
