sku,handle,variant_id,inventory_item_id,price,peso_anterior_lb,perfil_anterior_id,perfil_anterior_nome,tags_anteriores,ft,lb_por_pe_fornecedor,peso_real_lb,lambda,destino_id,destino_nome
HDPE-GASH0110200250,2-x-250-gas-pipe-hdpe-4710-sdr-11-cengas,44350390730855,46462447943783,1275.00,0.63,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",250,0.63,157.50,0.1235,94651809895,THS Freight & Oversize
MDPE-1002278,2-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,44350390829159,46462448042087,1070.00,0.63,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",250,0.63,157.50,0.1472,94651809895,THS Freight & Oversize
POLY-150-250/300,1-1-2-x-300-poly-pipe-250-psi-sidr-7-cenflo,44350391189607,46462448402535,891.00,0.57,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",300,0.575,172.50,0.1936,94651809895,THS Freight & Oversize
POLY-200-250/300,2-x-300-poly-pipe-250-psi-sidr-7-cenflo,44350391255143,46462448468071,1467.00,0.94,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",300,0.945,283.50,0.1932,94651809895,THS Freight & Oversize
MDPE-1002239,3-4-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,44350390763623,46462447976551,222.50,0.12,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",250,0.12,30.00,0.1348,94652268647,THS Standard
MDPE-1031252,1-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,44350390861927,46462448074855,337.50,0.19,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",250,0.19,47.50,0.1407,94652268647,THS Standard
MDPE-GASM01001250250,1-1-4-x-250-poly-pipe-mdpe-2708-sdr-11-cengas,44350390894695,46462448107623,592.50,0.33,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",250,0.33,82.50,0.1392,94652268647,THS Standard
POLY-075-250/100,3-4-x-100-poly-pipe-250-psi-sidr-7-cenflo,44350390927463,46462448140391,78.00,0.20,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",100,0.20,20.00,0.2564,94652268647,THS Standard
POLY-075-250/300,3-4-x-300-poly-pipe-250-psi-sidr-7-cenflo,44350390960231,46462448173159,234.00,0.20,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",300,0.20,60.00,0.2564,94652268647,THS Standard
POLY-100-250/100,1-x-100-poly-pipe-250-psi-sidr-7-cenflo,44350390992999,46462448205927,126.00,0.24,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",100,0.245,24.50,0.1944,94652268647,THS Standard
POLY-100-250/300,1-x-300-poly-pipe-250-psi-sidr-7-cenflo,44350391025767,46462448238695,378.00,0.24,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",300,0.245,73.50,0.1944,94652268647,THS Standard
POLY-125-250/100,1-1-4-x-100-poly-pipe-250-psi-sidr-7-cenflo,44350391091303,46462448304231,217.00,0.42,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",100,0.42,42.00,0.1935,94652268647,THS Standard
POLY-125-250/300,1-1-4-x-300-poly-pipe-250-psi-sidr-7-cenflo,44350391124071,46462448336999,651.00,0.42,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",300,0.42,126.00,0.1935,94652268647,THS Standard
POLY-150-250/100,1-1-2-x-100-poly-pipe-250-psi-sidr-7-cenflo,44350391156839,46462448369767,297.00,0.57,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",100,0.575,57.50,0.1936,94652268647,THS Standard
POLY-200-250/100,2-x-100-poly-pipe-250-psi-sidr-7-cenflo,44350391222375,46462448435303,489.00,0.94,89783402599,General profile,"Centennial Plastics|free-ship-eligible|HDPE & Poly Pipe",100,0.945,94.50,0.1933,94652268647,THS Standard
