Handle,Command,Tags,Tags Command
2-x-250-gas-pipe-hdpe-4710-sdr-11-cengas,MERGE,free-ship-eligible,MERGE
2-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,MERGE,free-ship-eligible,MERGE
1-1-2-x-300-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
2-x-300-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
3-4-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,MERGE,free-ship-eligible,MERGE
1-x-250-gas-pipe-mdpe-2708-sdr-11-cengas,MERGE,free-ship-eligible,MERGE
1-1-4-x-250-poly-pipe-mdpe-2708-sdr-11-cengas,MERGE,free-ship-eligible,MERGE
3-4-x-100-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
3-4-x-300-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
1-x-100-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
1-x-300-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
1-1-4-x-100-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
1-1-4-x-300-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
1-1-2-x-100-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
2-x-100-poly-pipe-250-psi-sidr-7-cenflo,MERGE,free-ship-eligible,MERGE
