vendor,sku,part_number,orders,unidades,receita,keywords_exact_sugeridas,impr_gsc_com_esse_pn,queries_gsc_exemplo,titulo
Resideo,HONE-L4029E1029/U,L4029E1029/U,1,21,3812.97,[l4029e1029] | [resideo l4029e1029],0,,"Resideo L4029E1029/U Limit Control- fixed 200 °F range, 3 in insert Manual Reset"
Navien,NAVI-NHW700-199SU-LP,NHW700-199SU-LP,1,2,3015.0,[nhw700-199su-lp] | [navien nhw700-199su-lp],0,,"Navien NHW700-199SU-LP NHW-SU 199,000 BTU Compact tankless water heaters work gr"
Resideo,HONE-TH3210D1004/U,TH3210D1004/U,9,24,1987.92,[th3210d1004] | [resideo th3210d1004],0,,Resideo TH3210D1004/U PRO 3000 2 Heat/1 Cool Non-Programmable Digital Thermostat
Resideo,HONE-THX321WFS2001W/U,THX321WFS2001W/U,3,5,1648.65,[thx321wfs2001w] | [resideo thx321wfs2001w],0,,Resideo THX321WFS2001W/U T10 Pro Smart with RedLINK thermostat kit with sensor
Navien,NAVI-NHW700-180AI-NG,NHW700-180AI-NG,1,1,1455.0,[nhw700-180ai-ng] | [navien nhw700-180ai-ng],0,,"Navien NHW700-180AI-NG NHW-AI 180,000 BTU Compact tankless water heaters, Indoor"
Resideo,HONE-TH3110U2008/U,TH3110U2008/U,1,36,1080.0,[th3110u2008] | [resideo th3110u2008],0,,Resideo T3 Pro Non-Programmable Thermostat TH3110U2008/U
Pasco,PASC-50750,,2,5,757.5,,0,,"Pasco 50750 7/8"" x 50' Code DW Drain Hose"
Franke,FRAN-CUX11030,,1,1,643.42,,0,,Franke Cube 31.5-in. x 17.7-in. 18 Gauge Stainless Steel Undermount Single Bowl 
Resideo,HONE-TH5110D1022/U,TH5110D1022/U,2,5,624.45,[th5110d1022] | [resideo th5110d1022],0,,Resideo TH5110D1022/U FocusPRO 5000 heating and cooling thermostat large display
Resideo,HONE-YTHX9421R7001WW/U,YTHX9421R7001WW/U,1,1,574.1,[ythx9421r7001ww] | [resideo ythx9421r7001ww],0,,Resideo YTHX9421R7001WW/U Prestige® 2-Wire IAQ Kit with high definition color to
Grohe,GROH-38.996000,,1,1,564.21,,0,,"Grohe 38996000 2"" x 4"" In-Wall Carrier and Tank For Toilet"
Blanco,BLAN-441285,,1,1,563.53,,0,,Blanco Diamond Equal Double Dual Mount Kitchen Sink - Truffle
US Boiler,BURN-111564-01,CES10AF60,1,2,532.12,[ces10af60] | [us ces10af60],0,,"US Boiler (Burnham) 111564-01 Gas Valve, Direct Ignition, 150-200, Resideo CES10"
Grohe,GROH-27.070000,,1,3,519.45,,5,2 way line diverter valve htv series; 2 way zone valve,Grohe 27070000 Relexa® Ultra Hand Shower - 2-Way in GROHE CHROME
