sku,vendor,ptype,price,lb_loja,lb_fornecedor,usd_lb,teto_lb,handle,variant_id,product_id
NAVI-NPF700-060U3BH,Navien,Hydro Furnaces,2940.0,2.19,,1342.5,99.08,9-000-60-000-btu-condensing-hydro-furnace-upflow-unit,44351192137831,7715669803111
BOSC-BMS500-AAM027-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),2902.26,7.0,,414.6,97.81,2-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-30-000-btu-r454b-208-230v,44350353309799,7715251847271
MILW-49-16-2490X,Milwaukee Tools,Press Jaw Kits,2857.32,0.73,,3914.1,96.29,1-2-1-1-4-cts-v-pivoting-press-ring-kit-for-m12-force-logic-press-tool,44350937137255,7715554492519
MILW-2932-22XC,Milwaukee Tools,PEX Expansion Tools,2853.68,1.76,,1621.4,96.17,m18-fuel-2-propex-expander-kit-w-one-key-with-1-1-4-2-expander-heads,44350915838055,7715536896103
DELT-T4767-BLFL,Delta,Freestanding Tub Faucets,2834.19,80.0,,35.4,95.51,delta-ara-single-handle-floor-mount-tub-filler-trim-with-handshower-matte-black,44350589239399,7715377971303
ELKA-LZS8WSLP,Elkay,Bottle Fillers & Fountains,2777.72,2.0,,1388.9,93.61,elkay-enhanced-ezh2o-bottle-filling-station-single-ada-cooler-filtered-refrigerated-light-gray,44350692032615,7715410411623
MILW-48-21-8070,Milwaukee Tools,PACKOUT,2767.92,5.5,,503.3,93.28,packout-rack-kit,44350921244775,7715542237287
BOSC-BMS500-AAS024-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),2742.33,7.0,,391.8,92.42,2-ton-ductless-mini-split-single-zone-outdoor-heat-pump-regular-performance-r454b-12-000-btu-r454b-208-230v,44350355275879,7715252437095
HGRO-26548001,Hansgrohe,Exposed Shower Sets,2731.5,1.0,,2731.5,92.05,hansgrohe-showerpipe-280-with-select-shower-controls-1-75-gpm-in-chrome,44350763925607,7715456286823
LIBE-OTC-230,Liberty Pumps,Sewage Pumps,2730.0,61.0,,44.8,92.0,oiltector-control-with-alarm-230v-maximum-pump-horsepower-2,44350886281319,7715519266919
IBCT-P-429,IBC,IBC Parts,2699.18,2.19,,1232.5,90.96,parts-kit-for-sl-residential-vx-series,44350820450407,7715477782631
GVLF-AE7721-3-300,Gruvlok,Gruvlok Fittings,2672.43,2.0,,1336.2,90.06,3-grvd-bfv-e-grade-disc-epoxy-coated,44350753570919,7715451830375
MLWV-CL223E-D6,Milwaukee Valve,Butterfly Valves,2661.66,3.0,,887.2,89.7,6-lug-pattern-cast-iron-butterfly-valve-200-psi-epdm-seat-bronze-disc,44350953029735,7715565928551
COPT-150-KS,Mueller Streamline,Type K Soft,2648.4,81.6,,32.5,89.25,1-1-2-x-60-copper-tube-k-soft,44351115624551,7715645915239
COPT-100-KS/100,Mueller Streamline,Type K Soft,2646.0,83.9,,31.5,89.17,1-x-100-copper-tube-k-soft,44351113920615,7715645227111
MOEN-615BL,Moen,Deck-Mount Tub Faucets,2636.79,80.0,,33.0,88.86,moen-cia-matte-black-one-handle-tub-filler-includes-hand-shower,44350973444199,7715576610919
MLWV-1406-600,Milwaukee Valve,Check Valves,2633.85,1.33,,1980.3,88.76,6-wafer-cast-iron-check-valve-class-125-stainless-steel-seat-stainless-steel-disc,44350948933735,7715562586215
MILW-49-16-2496X,Milwaukee Tools,Press Jaw Kits,2571.49,0.73,,3522.6,86.66,1-2-1-ips-p-pivoting-press-ring-kit-for-m12-force-logic-press-tool,44350937432167,7715554623591
GVLF-AE7721-3-250,Gruvlok,Gruvlok Fittings,2562.57,0.52,,4928.0,86.36,2-1-2-grvd-bfv-e-grd-disc-epoxy-coated,44350753505383,7715451797607
RZNR-UDXC-125,Reznor,Unit Heaters,2528.45,2.19,,1154.5,85.21,125-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339167847,7715752181863
ROHL-MS3018WH,Shaws,Apron-Front & Farmhouse Sinks,2513.55,43.5,,57.8,84.71,shaker-30-single-bowl-farmhouse-apron-front-fireclay-kitchen-sink-in-white-wh,44351372263527,7715770531943
BOSC-BMS500-AAM018-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),2450.87,7.0,,350.1,82.59,1-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-18-000-btu-r454b-208-230v,44350350295143,7715251486823
FUJI-AOU36RGLX,Fujitsu General,Outdoor Units (Compressor/Condenser),2430.51,7.0,,347.2,81.91,retired-aou36rglx-36-000-btu-h-airstage-mini-split-outdoor-unit,44350703763559,7715418701927
HONE-DR90A3000/U,Resideo,Dehumidifiers & Humidifiers,2413.01,7.0,,344.7,81.32,90-pt-whole-home-dehumidification-system,44351309971559,7715735470183
GVLF-A7788SS-400-316,Gruvlok,Gruvlok Fittings,2408.72,0.52,,4632.2,81.17,4-flange-adapter-316-stainless-steel-gr-x-flange,44350753374311,7715451666535
MOEN-615BG,Moen,Hand Shower Heads,2397.2,80.0,,30.0,80.79,moen-cia-brushed-gold-one-handle-tub-filler-includes-hand-shower,44350973411431,7715576578151
TEKM-090,tekmar Control Systems,Snow Melt Controls,2397.0,2.19,,1094.5,80.78,tekmar-snow-melt-control-slab-sensor-090,44353382416487,7716737843303
TACO-ACUF-400-AF-3,Taco Comfort Solutions,Balancing Valves,2389.5,1.8,,1327.5,80.53,4-flanged-accu-flo-balancing-valve,44353380810855,7716736303207
MILW-48-11-1851,Milwaukee Tools,M18 Batteries,2387.8,1.5,,1591.9,80.47,m18-redlithium-xc5-0-extended-capacity-battery-10-pack,44350919901287,7715540926567
DURA-2350120000,Duravit,Wall-Mount Sinks,2383.88,1.0,,2383.9,80.34,duravit-vero-47-1-4-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350684725351,7715403563111
BOSC-BMS500-AAS018-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),2343.55,7.0,,334.8,78.98,1-1-2-ton-ductless-mini-split-single-zone-outdoor-heat-pump-regular-performance-r454b-18-000-btu-r454b-208-230v,44350355243111,7715252404327
BOSC-BMS500-AAS012-1CSXHD,Bosch,Outdoor Units (Compressor/Condenser),2288.16,7.0,,326.9,77.11,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-max-performance-r454b-12-000-btu-r454b-208-230v,44350354686055,7715252306023
JOMA-600-211,Jomar,Flanged Ball Valves,2287.39,1.8,,1270.8,77.09,4-flanged-full-port-2-piece-flanged-connection-class-150-carbon-steel-stainless-steel-ball-and-stem,44350835130471,7715488956519
RZNR-UDXC-100,Reznor,Unit Heaters,2245.8,2.19,,1025.5,75.68,105-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339135079,7715752149095
COPT-150-LS,Mueller Streamline,Type L Soft,2232.6,68.4,,32.6,75.24,1-1-2-x-60-copper-tube-l-soft,44351115722855,7715646013543
RZNR-UWS-44/62,Reznor,Hydronic Unit Heaters,2224.05,2.19,,1015.5,74.95,62-000-btu-uws-hot-water-suspended-unit-heater,44351339429991,7715752444007
DURA-611000001501300,Duravit,Toilet Seats,2179.12,5.0,,435.8,73.44,duravit-sensowash-slim-elongated-bidet-toilet-seat-in-white-with-remote-concealed-connections,44350684954727,7715403792487
GVLF-485-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,2163.06,0.34,,6361.9,72.9,2-union-316-stainless-steel-press,44353404895335,7716760158311
MILW-3154-20,Milwaukee Tools,Camera System,2141.12,0.73,,2933.0,72.16,m12-75-drain-camera-w-packout-compatibility,44350916264039,7715537322087
COPT-100-LS/100,Mueller Streamline,Type L Soft,2129.0,65.5,,32.5,71.75,1-x-100-copper-tube-l-soft,44351114018919,7715645325415
BOSC-BMS500-AAS009-1CSXHD,Bosch,Outdoor Units (Compressor/Condenser),2126.85,7.0,,303.8,71.67,3-4-ton-ductless-mini-split-single-zone-outdoor-heat-pump-max-performance-r454b-9-000-btu-r454b-208-230v,44350354554983,7715252174951
DURA-0454120024,Duravit,Wall-Mount Sinks,2110.88,1.0,,2110.9,71.14,duravit-vero-47-1-4-rectangular-wall-mounted-sink-in-white-with-two-sets-of-single-faucet-holes-and-with-overflow,44350672666727,7715400974439
TEKM-654,tekmar Control Systems,Snow Melt Controls,2106.0,2.19,,961.6,70.97,tekmar-snow-melt-control-654,44353385168999,7716740595815
GVLF-AE7721-3-200,Gruvlok,Gruvlok Fittings,2081.53,2.0,,1040.8,70.15,2-grvd-bfv-e-grade-disc-epoxy-coated,44350753439847,7715451732071
WILK-2-600XL,Zurn Wilkins,Pressure Reducing Valves,2080.51,21.0,,99.1,70.11,2-600xl-pressure-reducing-valve,44353501724775,7716847616103
GROH-23.792001,Grohe,Tub-Shower Trim Sets,2075.37,1.0,,2075.4,69.94,single-handle-freestanding-tub-faucet-with-1-75-gpm-hand-shower-in-grohe-chrome-groh-23-792001,44350722015335,7715429417063
ELKA-EHS-18-KVX,Elkay,Hand Sinks,2073.35,22.0,,94.2,69.87,elkay-stainless-steel-18-x-14-1-2-x-11-18-gauge-hand-sink-with-knee-valve-and-faucet,44350690394215,7715408937063
SANI-053,SANIFLO,Sewage Pumps,2062.51,61.0,,33.8,69.51,the-sanipit-24-gr-is-the-ideal-retrofit-1hp-grinder-pump-easily-upgrade-your-sewage-ejector-pump,44351364202599,7715766009959
COPT-125-KS,Mueller Streamline,Type K Soft,2037.6,62.4,,32.7,68.67,1-1-4-x-60-copper-tube-k-soft,44351114608743,7715645554791
COPT-075-KS/100,Mueller Streamline,Type K Soft,1993.0,64.1,,31.1,67.16,3-4-x-100-copper-tube-k-soft,44351113625703,7715644932199
COPF-600.200-TEE-C,Mueller Streamline,Copper Sweat Fittings,1991.7,0.39,,5106.9,67.12,6-x-6-x-2-copper-sweat-fittings-tee-c-x-c-x-c,44351106351207,7715641491559
NORT-NSCWHC,NorthStar,Water Softeners,1988.65,1.94,,1025.1,67.02,2-in-1-softener-whole-home-filteration-with-wifi-31-000gr-point-of-entry-cabinet-model,44351199805543,7715671900263
RZNR-UDXC-75,Reznor,Unit Heaters,1963.14,2.19,,896.4,66.16,75-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339298919,7715752312935
MILW-3697-27,Milwaukee Tools,Combo Kits (M18),1939.21,0.73,,2656.5,65.35,m18-fuel-7-tool-combo-kit,44350916788327,7715537846375
BOSC-BMS500-AAU018-1AHCXD,Bosch,Wall Mount Head Units,1881.07,2.0,,940.5,63.39,1-1-2-ton-ductless-mini-split-indoor-universal-cassette-unit-18-000-btu-r454b-208-230v,44350355439719,7715252600935
GVLF-7012-400-E-GALV,Gruvlok,Gruvlok Fittings,1871.57,0.52,,3599.2,63.07,4-flange-galvanized-epdm-green,44350737809511,7715442655335
ELKA-LFGR33221,Elkay,Drop-In Sinks,1869.15,1.0,,1869.2,62.99,elkay-lustertone-classic-stainless-steel-33-x-22-x-10-1-hole-60-40-double-bowl-drop-in-sink,44350690787431,7715409330279
MLWV-2885-M-400,Milwaukee Valve,Gate Valves,1861.05,1.44,,1292.4,62.72,4-flange-x-flange-cast-iron-gate-valve-125-swp-200-wog-os-y-stem-bronze-seat-solid-wedge-disc,44350949458023,7715563044967
NAVA-NRDDF,NAVAC,Refrigeration Tools,1859.64,5.5,,338.1,62.67,recovery-unit-for-flammable-refrigerants,44351182602343,7715666985063
RZNR-UDXC-60,Reznor,Unit Heaters,1856.25,2.19,,847.6,62.56,60-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339266151,7715752280167
BOSC-BMS500-AAU036-1AHWXD,Bosch,Wall Mount Head Units,1849.23,2.0,,924.6,62.32,3-ton-ductless-mini-split-indoor-wall-mounted-unit-36-000-btu-r454b-208-230v,44350355996775,7715252764775
GVLF-469-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1812.87,0.34,,5332.0,61.09,2-ball-valve-316-stainless-steel-press,44353401880679,7716757209191
GVLF-A7064SS-250.200-TEE-1004,Gruvlok,Gruvlok Fittings,1778.95,0.52,,3421.1,59.95,2-1-2-x-2-tee-304-stainless-steel-gr-x-gr-x-mpt,44350752489575,7715450880103
HLNK-20345,HeatLink,Non-Barrier Tubing,1776.68,13.14,,135.2,59.87,heatlink-1-1-2-x-300-black-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,44350774771815,7715460972647
RZNR-UDXC-45,Reznor,Unit Heaters,1763.84,2.19,,805.4,59.44,45-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339233383,7715752247399
MILW-49-16-2652SA,Milwaukee Tools,Press Tools and Kits,1755.75,6.31,,278.2,59.17,1-ips-asp-press-jaw-for-m18-force-logic-long-throw-press-tool,44350938218599,7715555278951
BOSC-BMS500-AAU030-1AHWXD,Bosch,Wall Mount Head Units,1748.84,2.0,,874.4,58.94,2-1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-30-000-btu-r454b-208-230v,44350355964007,7715252732007
SLOA-3250315,Sloan,Flush Valve Parts & Accessories,1737.2,3.0,,579.1,58.54,g2-8111-1-6-gr,44351417876583,7715792945255
COPT-125-LS,Mueller Streamline,Type L Soft,1735.8,53.04,,32.7,58.5,1-1-4-x-60-copper-tube-l-soft,44351114707047,7715645653095
DURA-0329100000,Duravit,Wall-Mount Sinks,1735.5,1.0,,1735.5,58.49,duravit-vero-41-3-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672404583,7715400745063
GVLF-A7788SS-300-316,Gruvlok,Gruvlok Fittings,1723.1,0.52,,3313.7,58.07,3-flange-adapter-316-stainless-steel-gr-x-flange,44350753341543,7715451633767
BOSC-BMS500-AAS012-0CSXRD,Bosch,Outdoor Units (Compressor/Condenser),1716.3,7.0,,245.2,57.84,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-r454b-12-000-btu-r454b-115v,44350354653287,7715252273255
GVLF-485-150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1710.33,0.34,,5030.4,57.64,1-1-2-union-316-stainless-steel-press,44353404862567,7716760125543
