SKU,ID,peso_lb,peso_dim_lb,peso_efetivo_lb,preco,lambda,fonte_dim,status,no_general_hoje
AB&A-403,7715203842151,5.35,,5.35,175.22,0.0305,,ACTIVE,nao
ABSF-150-22EL-A,7715285008487,0.1,0.0,0.1,3.54,0.0282,cube,ACTIVE,sim
ABSF-150-45EL-A,7715285139559,0.13,11.8,11.76,2.43,4.8412,cube_ft3,ACTIVE,nao
ABSF-150-60EL-A,7715285172327,0.13,0.0,0.13,4.67,0.0278,cube,ACTIVE,sim
ABSF-150-90EL-A,7715285336167,0.15,0.0,0.15,2.66,0.0564,cube,ACTIVE,nao
ABSF-150-CAP-A,7715285368935,0.09,0.0,0.09,4.53,0.0199,cube,ACTIVE,sim
ABSF-150-CO-A,7715285532775,0.12,0.0,0.12,4.81,0.0249,cube,ACTIVE,sim
ABSF-150-CPL-A,7715285631079,0.06,6.2,6.2,1.36,4.5595,cube_ft3,ACTIVE,nao
ABSF-150-DBL90-A,7715285860455,0.23,0.0,0.23,12.64,0.0182,cube,ACTIVE,sim
ABSF-150-DBLY-A,7715286024295,0.37,0.1,0.37,19.92,0.0186,cube,ACTIVE,sim
ABSF-150-FA-A,7715286155367,0.08,11.4,11.36,2.34,4.8542,cube_ft3,ACTIVE,nao
ABSF-150-FTA-A,7715286188135,0.09,0.0,0.09,3.53,0.0255,cube,ACTIVE,sim
ABSF-150-FTGFA-A,7715286220903,7.0,0.0,7.0,2.88,2.4306,cube,ACTIVE,nao
ABSF-150-FTGMA-A,7715286450279,6.0,0.0,6.0,5.73,1.0471,cube,ACTIVE,nao
ABSF-150-LT90-A,7715286483047,0.21,0.0,0.21,4.7,0.0447,cube,ACTIVE,nao
ABSF-150-LTST90-A,7715286515815,0.21,0.0,0.21,5.96,0.0352,cube,ACTIVE,nao
ABSF-150-LTTY-A,7715286548583,0.34,0.0,0.34,10.17,0.0334,cube,ACTIVE,nao
ABSF-150-MA-A,7715286581351,0.06,9.8,9.78,2.0,4.8875,cube_ft3,ACTIVE,sim
ABSF-150-MTA-A,7715286614119,0.09,0.0,0.09,3.34,0.0269,cube,ACTIVE,sim
ABSF-150-PLG-A,7715286646887,0.05,7.9,7.89,1.94,4.0685,cube_ft3,ACTIVE,sim
ABSF-150-PTR-A,7715286679655,0.36,0.0,0.36,9.12,0.0395,cube,ACTIVE,nao
ABSF-150-PTRU-A,7715286712423,0.36,0.0,0.36,12.25,0.0294,cube,ACTIVE,sim
ABSF-150-RPC-A,7715286745191,0.06,0.0,0.06,9.03,0.0066,cube,ACTIVE,sim
ABSF-150-SANT-A,7715286777959,0.2,0.0,0.2,3.92,0.051,cube,ACTIVE,nao
ABSF-150-ST-TEE-A,7715286810727,0.21,0.0,0.21,9.73,0.0216,cube,ACTIVE,sim
ABSF-150-ST22-A,7715286843495,0.09,0.0,0.09,10.06,0.0089,cube,ACTIVE,sim
ABSF-150-ST45-A,7715286876263,0.13,0.0,0.13,3.03,0.0429,cube,ACTIVE,nao
ABSF-150-ST90-A,7715286909031,0.15,0.0,0.15,3.41,0.044,cube,ACTIVE,nao
ABSF-150-STV90-A,7715286941799,0.12,0.0,0.12,4.74,0.0253,cube,ACTIVE,sim
ABSF-150-TET-A,7715286974567,0.23,0.0,0.23,11.27,0.0204,cube,ACTIVE,sim
ABSF-150-V90-A,7715287007335,0.14,0.0,0.14,4.74,0.0295,cube,ACTIVE,sim
ABSF-150-WYE-A,7715287040103,0.26,0.0,0.26,7.08,0.0367,cube,ACTIVE,nao
ABSF-150.125-FTA-A,7715287072871,0.09,0.0,0.09,4.12,0.0218,cube,ACTIVE,sim
ABSF-150.125-MTA-A,7715287105639,0.08,0.0,0.08,4.63,0.0173,cube,ACTIVE,sim
ABSF-200-22EL-A,7715287138407,0.16,0.0,0.16,4.04,0.0396,cube,ACTIVE,nao
ABSF-200-45EL-A,7715287171175,0.21,0.0,0.21,3.75,0.056,cube,ACTIVE,nao
ABSF-200-60EL-A,7715287203943,0.19,0.0,0.19,6.63,0.0287,cube,ACTIVE,sim
ABSF-200-90EL-A,7715287236711,0.25,0.0,0.25,4.08,0.0613,cube,ACTIVE,nao
ABSF-200-CAP-A,7715287269479,0.12,0.0,0.12,6.25,0.0192,cube,ACTIVE,sim
ABSF-200-CO-A,7715287302247,0.15,0.0,0.15,6.09,0.0246,cube,ACTIVE,sim
ABSF-200-CPL-A,7715287335015,0.08,8.3,8.33,1.71,4.8687,cube_ft3,ACTIVE,nao
ABSF-200-DBL90-A,7715287367783,0.33,,0.33,15.86,0.0208,,ACTIVE,sim
ABSF-200-DBLY-A,7715287400551,0.56,0.1,0.56,23.77,0.0236,cube,ACTIVE,sim
ABSF-200-DFT-A,7715287433319,0.59,0.1,0.59,22.66,0.026,cube,ACTIVE,sim
ABSF-200-DST-A,7715287466087,0.39,0.0,0.39,14.84,0.0263,cube,ACTIVE,sim
ABSF-200-FA-A,7715288023143,0.1,0.0,0.1,3.68,0.0272,cube,ACTIVE,sim
