SKU,ID,peso_lb,preco,lambda
AB&A-403,7715203842151,5.35,175.22,0.030533
ABSF-300-FTGFA-A,7715291758695,0.33,10.02,0.032934
ABSF-300.300.200-STLHO90-A,7715293790311,0.82,24.77,0.033105
AMAC-4125-128,7715203448935,1.0,31.38,0.031867
AMST-9062.008.020,7715218817127,22.0,1114.34,0.019743
ANVI-AS100-EH-20-PGV,7715226222695,1.89,361.6,0.005227
ANVI-AS200-10-PGV,7715226288231,1.89,97.9,0.019305
ANVI-AS200-20-PGV,7715226320999,1.89,195.8,0.009653
ANVI-AS200-EH-10-304SS,7715226386535,1.89,297.6,0.006351
ANVI-AS200-EH-10-ZTC,7715226452071,1.89,76.3,0.024771
ANVI-AS200-EH-BTB-20-PGV,7715226550375,1.89,467.4,0.004044
ANVI-AS500-EH-10-PGV,7715226615911,1.89,63.9,0.029577
ANVI-AS500-EH-10-ZTC,7715226681447,1.89,77.7,0.024324
ANVI-AS500-EH-20-PGV,7715226812519,1.89,127.8,0.014789
APOL-77CLF-243-01A,7715230974055,2.06,62.19,0.033124
AQUF-KDW-684-PP,7715521691751,0.93,28.35,0.032804
AQUF-WCS-118-PP,7715522216039,0.38,11.48,0.033101
ARRO-201LF,7715236773991,0.85,25.38,0.033491
ARRO-425-08QTLF,7715238674535,1.83,57.61,0.031765
ARRO-425-10QTLF,7715238772839,1.96,58.98,0.033232
ARRO-455-06LF,7715239362663,1.54,49.38,0.031187
ARRO-455-08LF,7715239821415,1.67,50.76,0.0329
ARRO-485-06LF,7715241295975,1.88,60.36,0.031146
ARRO-485-06LKLF,7715241394279,1.94,62.41,0.031085
ARRO-485-08LF,7715241459815,2.04,61.74,0.033042
ASFC-6047.121.002,7715219603559,5.86,253.86,0.023084
ASFC-6063.051.002,7715219898471,8.17,420.92,0.01941
ASFC-6065.161.002,7715220029543,8.3,420.92,0.019719
ASFC-7074.040.002,7715220389991,5.0,150.44,0.033236
ASFC-7500.145.002,7715221045351,5.0,155.49,0.032156
AXIM-AXTH-CF9AL,7715245621351,7.0,230.28,0.030398
BENJ-104BC,7715522379879,0.38,11.64,0.032646
BENJ-104FC,7715522412647,0.38,11.64,0.032646
BLIP-025,7716786929767,0.42,53.34,0.007874
BLIP-038,7716786962535,0.57,89.46,0.006372
BLIP-050-PE,7716787028071,0.85,29.82,0.028504
BLIP-050-XH106B-PE,7716787093607,0.94,116.76,0.008051
BLIP-075-PE,7716787159143,1.13,41.37,0.027314
BLIP-100-PE,7716787257447,1.68,57.96,0.028986
BLIP-1000-A53B-PE,7716787322983,0.94,1898.19,0.000495
BLIP-125-PE,7716787388519,2.28,83.37,0.027348
BLIP-150-PE,7716787486823,2.73,93.66,0.029148
BLIP-150-TBE,7716787519591,1.4,47.7,0.02935
BLIP-200-A53B-PE,7716787585127,0.94,172.41,0.005452
BLIP-200-PE,7716787617895,3.68,126.21,0.029158
BLIP-200-TBE,7716787650663,1.4,64.0,0.021875
BLIP-250-A53B-PE,7716787716199,0.94,276.15,0.003404
BLIP-300-A53B-PE,7716787781735,0.94,360.99,0.002604
BLIP-400-PE,7716787847271,10.89,396.48,0.027467
BLIP-500-A53B-PE,7716787880039,0.94,697.2,0.001348
BLIP-600-A53B-PE,7716787912807,0.94,602.28,0.001561
BLIP-800-A53B-PE,7716787945575,0.94,906.36,0.001037
BLPN-025-3,7715616456807,0.1,3.04,0.032895
BLPN-025-3.5,7715616489575,0.11,3.58,0.030726
BLPN-025-6,7715616718951,0.21,6.31,0.033281
BLPN-038-2.5,7715616882791,0.11,3.38,0.032544
BRIF-050-UNI-NL,7715491545191,0.6,18.32,0.032751
BRIF-100.075-90EL-NL,7715493118055,0.6,18.71,0.032068
BRIF-125-CPL-NL,7715493412967,0.6,18.71,0.032068
BRIF-300-CPL-NL,7715495608423,3.0,96.02,0.031243
BURN-100212-02,7716784472167,6.0,866.4,0.006925
BURN-103005-01,7716784570471,1.0,65.98,0.015156
BURN-105883-01,7716784668775,1.0,58.7,0.017036
