Handle,Command,Body HTML
pro-1000-vertical-heat-non-programmable-thermostat,UPDATE,"<p>The Resideo TH1100DV1000/U is a PRO 1000 wall thermostat. It is rated for heat only. The case is the <strong>vertical</strong> version &mdash; vertical and the other orientation are electrically the same thermostat in a different body, so pick the one that matches the footprint and the wire opening already in the wall. </p>
<p><strong>Non-programmable.</strong> One setpoint, changed by hand. That is the right choice for a rental, a shop, a space on a fixed occupancy, or any job where a schedule would just get overridden. Fewer things to explain at handover, and nothing to reprogram after a power event.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH1100DV1000/U</li>
<li><strong>Category:</strong> Thermostats</li>
<li><strong>Shipping Weight:</strong> 0.5 lb</li>
</ul>"
t1-pro-non-programmable-thermostat,UPDATE,"<p>The Resideo TH1110D2009/U is a T1 Pro wall thermostat. </p>
<p><strong>Non-programmable.</strong> One setpoint, changed by hand. That is the right choice for a rental, a shop, a space on a fixed occupancy, or any job where a schedule would just get overridden. Fewer things to explain at handover, and nothing to reprogram after a power event.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH1110D2009/U</li>
<li><strong>UPC:</strong> 085267344920</li>
<li><strong>Category:</strong> Thermostats</li>
</ul>"
pro-1000-horizontal-non-programmable-thermostat,UPDATE,"<p>The Resideo TH1110DH1003/U is a PRO 1000 wall thermostat. The case is the <strong>horizontal</strong> version &mdash; horizontal and the other orientation are electrically the same thermostat in a different body, so pick the one that matches the footprint and the wire opening already in the wall. </p>
<p><strong>Non-programmable.</strong> One setpoint, changed by hand. That is the right choice for a rental, a shop, a space on a fixed occupancy, or any job where a schedule would just get overridden. Fewer things to explain at handover, and nothing to reprogram after a power event.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH1110DH1003/U</li>
<li><strong>UPC:</strong> 085267573566</li>
<li><strong>Category:</strong> Thermostats</li>
</ul>"
pro-1000-vertical-non-programmable-thermostat,UPDATE,"<p>The Resideo TH1110DV1009/U is a PRO 1000 wall thermostat. The case is the <strong>vertical</strong> version &mdash; vertical and the other orientation are electrically the same thermostat in a different body, so pick the one that matches the footprint and the wire opening already in the wall. </p>
<p><strong>Non-programmable.</strong> One setpoint, changed by hand. That is the right choice for a rental, a shop, a space on a fixed occupancy, or any job where a schedule would just get overridden. Fewer things to explain at handover, and nothing to reprogram after a power event.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH1110DV1009/U</li>
<li><strong>UPC:</strong> 085267799317</li>
<li><strong>Category:</strong> Thermostats</li>
<li><strong>Shipping Weight:</strong> 0.5 lb</li>
</ul>"
pro-1000-horizontal-non-programmable-thermostat-hone-th1210dh1001-u,UPDATE,"<p>The Resideo TH1210DH1001/U is a PRO 1000 wall thermostat. The case is the <strong>horizontal</strong> version &mdash; horizontal and the other orientation are electrically the same thermostat in a different body, so pick the one that matches the footprint and the wire opening already in the wall. </p>
<p><strong>Non-programmable.</strong> One setpoint, changed by hand. That is the right choice for a rental, a shop, a space on a fixed occupancy, or any job where a schedule would just get overridden. Fewer things to explain at handover, and nothing to reprogram after a power event.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH1210DH1001/U</li>
<li><strong>UPC:</strong> 085267386135</li>
<li><strong>Category:</strong> Thermostats</li>
</ul>"
pro-1000-vertical-non-programmable-thermostat-hone-th1210dv1007-u,UPDATE,"<p>The Resideo TH1210DV1007/U is a PRO 1000 wall thermostat. The case is the <strong>vertical</strong> version &mdash; vertical and the other orientation are electrically the same thermostat in a different body, so pick the one that matches the footprint and the wire opening already in the wall. </p>
<p><strong>Non-programmable.</strong> One setpoint, changed by hand. That is the right choice for a rental, a shop, a space on a fixed occupancy, or any job where a schedule would just get overridden. Fewer things to explain at handover, and nothing to reprogram after a power event.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH1210DV1007/U</li>
<li><strong>UPC:</strong> 085267589659</li>
<li><strong>Category:</strong> Thermostats</li>
</ul>"
pro-2000-horizontal-programmable-thermostat,UPDATE,"<p>The Resideo TH2110DH1002/U is a PRO 2000 wall thermostat. The case is the <strong>horizontal</strong> version &mdash; horizontal and the other orientation are electrically the same thermostat in a different body, so pick the one that matches the footprint and the wire opening already in the wall. </p>
<p><strong>Programmable.</strong> Setback on a schedule is where the savings actually come from on a system that runs daily. If the building empties on a predictable pattern, the schedule pays for the difference in price over a non-programmable unit; if it does not, it will not.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH2110DH1002/U</li>
<li><strong>UPC:</strong> 085267463171</li>
<li><strong>Category:</strong> Thermostats</li>
</ul>"
pro-2000-horizontal-programmable-thermostat-hone-th2210dh1000-u,UPDATE,"<p>The Resideo TH2210DH1000/U is a PRO 2000 wall thermostat. The case is the <strong>horizontal</strong> version &mdash; horizontal and the other orientation are electrically the same thermostat in a different body, so pick the one that matches the footprint and the wire opening already in the wall. </p>
<p><strong>Programmable.</strong> Setback on a schedule is where the savings actually come from on a system that runs daily. If the building empties on a predictable pattern, the schedule pays for the difference in price over a non-programmable unit; if it does not, it will not.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH2210DH1000/U</li>
<li><strong>UPC:</strong> 085267510936</li>
<li><strong>Category:</strong> Thermostats</li>
</ul>"
pro-2000-vertical-programmable-thermostat,UPDATE,"<p>The Resideo TH2210DV1006/U is a PRO 2000 wall thermostat. The case is the <strong>vertical</strong> version &mdash; vertical and the other orientation are electrically the same thermostat in a different body, so pick the one that matches the footprint and the wire opening already in the wall. </p>
<p><strong>Programmable.</strong> Setback on a schedule is where the savings actually come from on a system that runs daily. If the building empties on a predictable pattern, the schedule pays for the difference in price over a non-programmable unit; if it does not, it will not.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH2210DV1006/U</li>
<li><strong>UPC:</strong> 085267861595</li>
<li><strong>Category:</strong> Thermostats</li>
</ul>"
t3-pro-non-programmable-thermostat,UPDATE,"<p>The Resideo TH3110U2008/U is a T3 Pro wall thermostat. </p>
<p><strong>Non-programmable.</strong> One setpoint, changed by hand. That is the right choice for a rental, a shop, a space on a fixed occupancy, or any job where a schedule would just get overridden. Fewer things to explain at handover, and nothing to reprogram after a power event.</p>
<p><strong>Where it sits in the range.</strong> Resideo builds these in tiers, and the tier number is the amount of control you get, not the build quality. T1 and PRO 1000 are single-stage and non-programmable &mdash; set it and leave it. T3 and PRO 3000 add a digital display and more staging. T4 and PRO 2000 add scheduling. T6 covers multi-stage and heat pump work, with a Smart version that adds Wi-Fi. T10 Pro is the top of the line, with RedLINK and remote room sensing. <strong>PRO 1000, PRO 2000 and PRO 3000 are the older names for the same tiers</strong> as T1, T4 and T3 &mdash; if you are matching what came out of the wall, the PRO number and the T number can be the same generation of product under two labels.</p><p><strong>Before you order.</strong> Match the thermostat to the equipment, not to the room: count the heating and cooling stages the system actually has, and confirm whether it is a heat pump or a conventional system, because the two wire differently at the thermostat. A unit rated for more stages than you have will work; one rated for fewer will not run the equipment you own. If you are replacing a Honeywell Home unit, the part number carries over &mdash; Honeywell Home thermostats are made by Resideo, and the legacy numbering is the same.</p>
<p>Related: <a href=""/collections/non-programmable-thermostats"">Non-programmable thermostats</a> · <a href=""/collections/programmable-thermostats"">Programmable thermostats</a> · <a href=""/collections/smart-thermostats"">Smart thermostats</a> · <a href=""/collections/resideo"">All Resideo</a></p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> TH3110U2008/U</li>
<li><strong>UPC:</strong> 194159004368</li>
<li><strong>Category:</strong> Thermostats</li>
</ul>"
