ID,Handle,Title
7716733812839,0015e3e-series-vm1816-dy2-4s2w00-stainless-steel-ecm-high-efficiency-variable-speed-universal-115v-60-1,"Taco Comfort Solutions 0015e3-SF4 0015e3e Series - VM1816-DY2-4S2W00 - Stainless Steel, ECM High , Efficiency, Variable Speed, Universal, 115V/60/1"
7716733911143,0018ee-series-vr1816-dy2-4s2w00-stainless-steel-ecm-high-efficiency-variable-speed-universal-115v-60-1-bluetooth,"Taco Comfort Solutions 0018ee Series - VR1816-DY2-4S2W00 - Stainless Steel, ECM High , Efficiency, Variable Speed, Universal, 115V/60/1, BLUETOOTH"
7716733976679,0026ee-series-vm2644-dd1-rs2w00-stainless-steel-ecm-high-efficiency-variable-speed-flanged-rotated-analog-115-208-230-50-60-hz,"Taco Comfort Solutions 0026e-SF2 0026ee Series - VM2644-DD1-RS2W00 - Stainless Steel, ECM High , Efficiency, Variable Speed, Flanged, Rotated, Analog"
7716734140519,0034ee-series-vm3450-dd1-rs2w00-stainless-steel-ecm-high-efficiency-variable-speed-flanged-rotated-analog-115-208-230-50-60-hz,"Taco Comfort Solutions 0034e-SF2 0034ee Series - VM3450-DD1-RS2W00 - Stainless Steel, ECM High , Efficiency, Variable Speed, Flanged, Rotated, Analog"
7716734337127,006e3e-series-vm1212-dy1-up2a00-composite-ecm-high-efficiency-1-union-fittings-needed-sold-separately,"Taco Comfort Solutions 006e3e Series - VM1212-DY1-UP2A00 - Composite, ECM High , Efficiency, 1"" Union (fittings needed/sold separately)"
7716734369895,006e3lce-series-vm1212-dy1-up2a01-composite-ecm-high-efficiency-pre-wired-line-cord-1-union-fittings-needed-sold-separately,"Taco Comfort Solutions 006e3LCe Series - VM1212-DY1-UP2A01 - Composite, ECM High , Efficiency, pre-wired line cord, 1"" Union (fittings needed/sold"
7715475095655,1-1-2-36v-x-26h-anodeless-riser-mpt-x-ips-sdr11,"HydraPro 1-1/2"" 36V x 26H ANODELESS RISER MPT x IPS SDR11"
7716844732519,1-1-2-compression-unicheck,"Zoeller Pump 30-0015 1-1/2"" COMPRESSION UNICHECK"
7715489841255,1-1-2-fip-balance-valve-threaded-connection-variable-orifice,"Jomar TGG-EFF 1-1/2"" FIP - BALANCE VALVE, THREADED CONNECTION, VARIABLE ORIFICE"
7715564748903,1-1-2-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,"Milwaukee Valve BA-475B-112 1-1/2"" - FIP x FIP - Brass, Full Port - Ball Valve - 600 WOG, RPTFE Seat, Chrome Plated Ball -"
7715564486759,1-1-2-fip-x-fip-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-stainless-steel-ball,"Milwaukee Valve BA-400-A-112 1-1/2"" - FIP x FIP - Bronze, Full Port - Ball Valve - 150 SWG - 600 WOG, RPTFE Seat, Stainless Steel Ball -"
7715561996391,1-1-2-fip-x-fip-bronze-gate-valve-non-rising-stem,"Milwaukee Valve 105-112 1-1/2"" - FIP x FIP - Bronze Gate Valve, Non-Rising Stem,"
7715564159079,1-1-2-fip-x-fip-bronze-standard-port-ball-valve-150-swg-600-wog-rptfe-seat-stainless-steel-ball,"Milwaukee Valve BA-100-A-112 1-1/2"" - FIP x FIP - Bronze, Standard Port - Ball Valve - 150 SWG - 600 WOG, RPTFE Seat, Stainless Steel Ball -"
7715464872039,1-1-2-pex-expansion-ring-heatlink,"HeatLink EX24241 1-1/2"" PEX Expansion Ring - HeatLink"
7715601842279,1-1-2-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4601500 1-1/2"" PEX Expansion Ring -"
7715461562471,1-1-2-pex-press-sleeve-v-sleeve-heatlink,"HeatLink 24241 1-1/2"" PEX Press Sleeve V-Sleeve - HeatLink"
7716819664999,1-1-2-pex-pureflow-press-press-sleeve-viega,"Viega 49906 1-1/2"" PEX PureFlow Press Press Sleeve - Viega"
7715767550055,1-1-2-sharkbite-coupling-ptc-x-ptc,SharkBite SB0141 1-1/2'' SharkBite Coupling - (PTC x PTC)
7715769843815,1-1-2-sharkbite-coupling-ptc-x-ptc-shar-uxl0141,SharkBite UXL0141 1-1/2'' SharkBite Coupling - (PTC x PTC)
7715770433639,1-1-2-sharkbite-disconnect-clip,SharkBite UXLDC41 1-1/2'' SharkBite Disconnect Clip - ()
7715770007655,1-1-2-sharkbite-end-cap-ptc,SharkBite UXL0441 1-1/2'' SharkBite End Cap - (PTC)
7715770171495,1-1-2-sharkbite-female-adapter-fip-x-ptc,SharkBite UXL114140F 1-1/2'' SharkBite Female Adapter - (FIP x PTC)
7715770237031,1-1-2-sharkbite-male-adapter-mip-x-ptc,SharkBite UXL114140M 1-1/2'' SharkBite Male Adapter - (MIP x PTC)
7715489808487,1-1-2-sweat-balance-valve-sweat-connection-variable-orifice,"Jomar TGG-ECC 1-1/2"" Sweat - BALANCE VALVE, SWEAT CONNECTION, VARIABLE ORIFICE"
7715565305959,1-1-2-swt-x-swt-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,"Milwaukee Valve BA-485B-112 1-1/2"" - SWT x SWT - Brass, Full Port - Ball Valve - 600 WOG, RPTFE Seat, Chrome Plated Ball -"
7715564650599,1-1-2-swt-x-swt-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-chrome-plated-ball,"Milwaukee Valve BA-450-A-112 1-1/2"" - SWT x SWT - Bronze, Full Port - Ball Valve - 150 SWG - 600 WOG, RPTFE Seat, Chrome Plated Ball -"
7715252600935,1-1-2-ton-ductless-mini-split-indoor-universal-cassette-unit-18-000-btu-r454b-208-230v,"Bosch 1-1/2 Ton Ductless Mini-Split, Indoor Universal Cassette Unit, 18,000 BTU, R454B ,208-230v"
7715252666471,1-1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-18-000-btu-r454b-208-230v,"Bosch 8733962674 1-1/2 Ton Ductless Mini-Split, Indoor Wall Mounted Unit, 18,000 BTU, R454B ,208-230v"
7715251421287,1-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-max-performance-r454b-24-000-btu-r454b-208-230v,"Bosch 8733962699 1-1/2 Ton Ductless Mini-Split, Multi-Zone, Outdoor Heat Pump (Max Performance), R454B, 24,000 BTU, R454B ,208-230v"
7715251486823,1-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-18-000-btu-r454b-208-230v,"Bosch 1-1/2 Ton Ductless Mini-Split, Multi-Zone, Outdoor Heat Pump (Regular Performance), R454B, 18,000 BTU, R454B ,208-230v"
7715252404327,1-1-2-ton-ductless-mini-split-single-zone-outdoor-heat-pump-regular-performance-r454b-18-000-btu-r454b-208-230v,"Bosch 1-1/2 Ton Ductless Mini-Split, Single Zone, Outdoor Heat Pump (Regular Performance), R454B, 18,000 BTU, R454B ,208-230v"
7715532963943,1-1-2-watergate-tool-bagged,"Mill Rose 77020 1-1/2"" WATERGATE TOOL-BAGGED"
7715531391079,1-1-2-x-10-yd-wet-one-sandcloth-blue,"Mill Rose 70164 1 1/2"" X 10 YD WET ONE SANDCLOTH - BLUE"
7715530768487,1-1-2id-ftg-brush-6100-series,"Mill Rose 61560 1-1/2""ID,FTG.BRUSH,6100 SERIES"
7715475587175,1-1-4-30v-x-30h-anodeless-riser-mpt-x-ips-sdr10,"HydraPro 1-1/4"" 30V x 30H ANODELESS RISER MPT x IPS SDR10"
7715489775719,1-1-4-fip-balance-valve-threaded-connection-variable-orifice,"Jomar TGG-DFF 1-1/4"" FIP - BALANCE VALVE, THREADED CONNECTION, VARIABLE ORIFICE"
7715564814439,1-1-4-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,"Milwaukee Valve BA-475B-114 1-1/4"" - FIP x FIP - Brass, Full Port - Ball Valve - 600 WOG, RPTFE Seat, Chrome Plated Ball -"
7715564552295,1-1-4-fip-x-fip-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-stainless-steel-ball,"Milwaukee Valve BA-400-A-114 1-1/4"" - FIP x FIP - Bronze, Full Port - Ball Valve - 150 SWG - 600 WOG, RPTFE Seat, Stainless Steel Ball -"
7715562029159,1-1-4-fip-x-fip-bronze-gate-valve-non-rising-stem,"Milwaukee Valve 105-114 1-1/4"" - FIP x FIP - Bronze Gate Valve, Non-Rising Stem,"
7715512615015,1-1-4-legendconnect-forged-brass-air-debris-eliminator-body,"Legend Valve 800-876 1-1/4"" - , LegendConnect Forged Brass Air & Debris Eliminator Body"
7716844961895,1-1-4-or-1-1-2-slip-x-slip-check-valve,"Zoeller Pump 30-0181 1-1/4"" OR 1-1/2"" SLIP X SLIP CHECK VALVE"
7715464839271,1-1-4-pex-expansion-ring-heatlink,"HeatLink EX24235 1-1/4"" PEX Expansion Ring - HeatLink"
7715601809511,1-1-4-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4601250 1-1/4"" PEX Expansion Ring -"
7716819632231,1-1-4-pex-pureflow-press-press-sleeve-viega,"Viega 49905 1-1/4"" PEX PureFlow Press Press Sleeve - Viega"
7715767451751,1-1-4-sharkbite-90-elbow-ptc-x-ptc,SharkBite SB0235 1-1/4'' SharkBite 90° Elbow - (PTC x PTC)
7715769909351,1-1-4-sharkbite-90-elbow-ptc-x-ptc-shar-uxl0235,SharkBite UXL0235 1-1/4'' SharkBite 90° Elbow - (PTC x PTC)
7715769811047,1-1-4-sharkbite-coupling-ptc-x-ptc,SharkBite UXL0135 1-1/4'' SharkBite Coupling - (PTC x PTC)
7715770400871,1-1-4-sharkbite-disconnect-clip,SharkBite UXLDC35 1-1/4'' SharkBite Disconnect Clip - ()
7715769974887,1-1-4-sharkbite-end-cap-ptc,SharkBite UXL0435 1-1/4'' SharkBite End Cap - (PTC)
7715770105959,1-1-4-sharkbite-female-adapter-fip-x-ptc,SharkBite UXL113532F 1-1/4'' SharkBite Female Adapter - (FIP x PTC)
7715770138727,1-1-4-sharkbite-male-adapter-mip-x-ptc,SharkBite UXL113532M 1-1/4'' SharkBite Male Adapter - (MIP x PTC)
7715770368103,1-1-4-sharkbite-quarter-turn-ball-valve-ptc-x-ptc,SharkBite UXLBV35 1-1/4'' SharkBite Quarter Turn Ball Valve - (PTC x PTC)
7715770073191,1-1-4-sharkbite-tee-ptc-x-ptc-x-ptc,"SharkBite UXL0835 1-1/4"" SharkBite Tee - (PTC x PTC x PTC)"
7715489710183,1-1-4-sweat-balance-valve-sweat-connection-variable-orifice,"Jomar TGG-DCC 1-1/4"" Sweat - BALANCE VALVE, SWEAT CONNECTION, VARIABLE ORIFICE"
7715565338727,1-1-4-swt-x-swt-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,"Milwaukee Valve BA-485B-114 1-1/4"" - SWT x SWT - Brass, Full Port - Ball Valve - 600 WOG, RPTFE Seat, Chrome Plated Ball -"
7715564683367,1-1-4-swt-x-swt-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-chrome-plated-ball,"Milwaukee Valve BA-450-A-114 1-1/4"" - SWT x SWT - Bronze, Full Port - Ball Valve - 150 SWG - 600 WOG, RPTFE Seat, Chrome Plated Ball -"
7715532931175,1-1-4-watergate-tool-bagged,"Mill Rose 77015 1-1/4"" WATERGATE TOOL-BAGGED"
7715530735719,1-1-4id-ftg-brush-6100-series,"Mill Rose 61500 1-1/4""ID,FTG.BRUSH,6100 SERIES"
7715489513575,1-2-fip-balance-valve-threaded-connection-variable-orifice,"Jomar TGG-AFF 1/2"" FIP - BALANCE VALVE, THREADED CONNECTION, VARIABLE ORIFICE"
7715564847207,1-2-fip-x-fip-brass-full-port-ball-valve-600-wog-rptfe-seat-chrome-plated-ball,"Milwaukee Valve BA-475B-12 1/2"" - FIP x FIP - Brass, Full Port - Ball Valve - 600 WOG, RPTFE Seat, Chrome Plated Ball -"
7715564191847,1-2-fip-x-fip-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-stainless-steel-ball,"Milwaukee Valve BA-100-A-12 1/2"" - FIP x FIP - Bronze, Full Port - Ball Valve - 150 SWG - 600 WOG, RPTFE Seat, Stainless Steel Ball -"
7715562094695,1-2-fip-x-fip-bronze-gate-valve-non-rising-stem,"Milwaukee Valve 105-12 1/2"" - FIP x FIP - Bronze Gate Valve, Non-Rising Stem,"
7715564290151,1-2-fip-x-hose-bronze-full-port-ball-valve-150-swg-600-wog-rptfe-seat-stainless-steel-ball,"Milwaukee Valve BA100-HA-12 1/2"" - FIP x Hose - Bronze, Full Port - Ball Valve - 150 SWG - 600 WOG, RPTFE Seat, Stainless Steel Ball -"
7715532669031,1-2-lb-b-monster-velocity-tank-flush,Mill Rose 76052 1.2 LB. B MONSTER VELOCITY TANK FLUSH
7715464708199,1-2-pex-expansion-ring-heatlink,"HeatLink EX24205 1/2"" PEX Expansion Ring - HeatLink"
7715601678439,1-2-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4600500 1/2"" PEX Expansion Ring -"
