ID,Handle,SEO Title,SEO Description
7715475095655,1-1-2-36v-x-26h-anodeless-riser-mpt-x-ips-sdr11,"HydraPro 1-1/2"" 36V x 26H ANODELESS RISER MPT x IPS SDR11","HydraPro 1-1/2"" 36V x 26H ANODELESS RISER MPT x IPS SDR11, MPN PERF-241901900860. Threaded at the top and polyethylene at the bottom, at the meter transition."
7716844732519,1-1-2-compression-unicheck,"Zoeller Pump 30-0015 1-1/2"" COMPRESSION UNICHECK","Zoeller Pump 30-0015 1-1/2"" compression Unicheck check valve. It goes in the discharge line above the pump, before the line leaves the basin."
7715464872039,1-1-2-pex-expansion-ring-heatlink,"HeatLink EX24241 1-1/2"" PEX Expansion Ring - HeatLink","HeatLink 1-1/2 in. PEX expansion ring, MPN EX24241. For ASTM F1960 cold-expansion joints: ring and tube expand together, then shrink tight on the fitting."
7715601842279,1-1-2-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4601500 1-1/2"" PEX Expansion Ring -","MrPEX Systems 1-1/2"" PEX Expansion Ring. The ring expands with the tube and draws back onto the fitting by material memory. MPN 4601500."
7715461562471,1-1-2-pex-press-sleeve-v-sleeve-heatlink,"HeatLink 24241 1-1/2"" PEX Press Sleeve V-Sleeve - HeatLink","HeatLink 24241 1-1/2"" PEX Press Sleeve V-Sleeve. Sleeve that goes over the tube before the tool closes it, sized to one nominal bore."
7716819664999,1-1-2-pex-pureflow-press-press-sleeve-viega,"Viega 49906 1-1/2"" PEX PureFlow Press Press Sleeve - Viega","Viega 49906 PureFlow Press sleeve for 1-1/2"" PEX tubing. It presses cold, and once closed the joint is not meant to come apart."
7715767550055,1-1-2-sharkbite-coupling-ptc-x-ptc,SharkBite SB0141 1-1/2'' SharkBite Coupling - (PTC x PTC),"SharkBite 1-1/2 in. coupling, MPN SB0141. Push-to-connect at both ends, joining copper, PEX or CPVC with no solder, glue or crimp ring to make up."
7715770433639,1-1-2-sharkbite-disconnect-clip,SharkBite UXLDC41 1-1/2'' SharkBite Disconnect Clip - (),"SharkBite 1-1/2 in. disconnect clip, MPN UXLDC41. Slides over the fitting collar and releases the grip ring so a 1-1/2 in. push-fit joint comes apart."
7715770007655,1-1-2-sharkbite-end-cap-ptc,SharkBite UXL0441 1-1/2'' SharkBite End Cap - (PTC),"SharkBite 1-1/2 in. end cap, MPN UXL0441. Push-to-connect cap closing off copper, PEX or CPVC for a test or a dead leg; pulls off with a clip."
7715770171495,1-1-2-sharkbite-female-adapter-fip-x-ptc,SharkBite UXL114140F 1-1/2'' SharkBite Female Adapter - (FIP x PTC),"SharkBite 1-1/2"" Female Adapter - (FIP x PTC). MPN UXL114140F. It comes back apart with the disconnect tool, so the fitting can be reused."
7715770237031,1-1-2-sharkbite-male-adapter-mip-x-ptc,SharkBite UXL114140M 1-1/2'' SharkBite Male Adapter - (MIP x PTC),"SharkBite 1-1/2"" Male Adapter - (MIP x PTC). MPN UXL114140M. Push-fit ends grip copper, PEX or CPVC without solder or a crimp ring, and free up with the tool."
7715532963943,1-1-2-watergate-tool-bagged,"Mill Rose 77020 1-1/2"" WATERGATE TOOL-BAGGED","Mill Rose Water-Gate tool for 1-1/2 in. copper, MPN 77020. Soldering aid for a 1-1/2 in. line that will not drain dry before the joint has to be made up."
7715531391079,1-1-2-x-10-yd-wet-one-sandcloth-blue,"Mill Rose 70164 1 1/2"" X 10 YD WET ONE SANDCLOTH - BLUE","Mill Rose 1 1/2"" X 10 yd Wet One Sandcloth, Blue. A wet abrasive cloth holds the grit down instead of spreading it through the shop. MPN 70164."
7715530768487,1-1-2id-ftg-brush-6100-series,"Mill Rose 61560 1-1/2""ID,FTG.BRUSH,6100 SERIES","Mill Rose 6100 Series fitting brush, 1-1/2 in. ID copper fittings, MPN 61560. Wire bristles scour the socket to bright metal so solder draws in."
7715475587175,1-1-4-30v-x-30h-anodeless-riser-mpt-x-ips-sdr10,"HydraPro 1-1/4"" 30V x 30H ANODELESS RISER MPT x IPS SDR10","HydraPro 1-1/4"" 30V x 30H ANODELESS RISER MPT x IPS SDR10, MPN PERF-CI155396101536. An anodeless riser leaves the ground with no anode to fail."
7716844961895,1-1-4-or-1-1-2-slip-x-slip-check-valve,"Zoeller Pump 30-0181 1-1/4"" OR 1-1/2"" SLIP X SLIP CHECK VALVE","Zoeller Pump 30-0181 1-1/4"" or 1-1/2"" slip by slip check valve. Slip ends take the pipe directly, with no threading at the valve."
7715464839271,1-1-4-pex-expansion-ring-heatlink,"HeatLink EX24235 1-1/4"" PEX Expansion Ring - HeatLink","HeatLink 1-1/4 in. PEX expansion ring, MPN EX24235. For ASTM F1960 cold-expansion joints: ring and tube expand together, then shrink tight on the fitting."
7715601809511,1-1-4-pex-expansion-ring-mr-pex-systems,"MrPEX Systems 4601250 1-1/4"" PEX Expansion Ring -","MrPEX Systems 1-1/4"" PEX Expansion Ring. One ring per joint; it is what holds the tube on while the PEX recovers. MPN 4601250."
7716819632231,1-1-4-pex-pureflow-press-press-sleeve-viega,"Viega 49905 1-1/4"" PEX PureFlow Press Press Sleeve - Viega","Viega 49905 PureFlow Press sleeve for 1-1/4"" PEX tubing. One sleeve per 1-1/4"" PureFlow press connection, pressed cold with the matching jaw."
7715767451751,1-1-4-sharkbite-90-elbow-ptc-x-ptc,SharkBite SB0235 1-1/4'' SharkBite 90° Elbow - (PTC x PTC),"SharkBite 1-1/4"" 90° Elbow - (PTC x PTC). MPN SB0235. Push-fit ends grip copper, PEX or CPVC without solder or a crimp ring, and free up with the tool."
7715769811047,1-1-4-sharkbite-coupling-ptc-x-ptc,SharkBite UXL0135 1-1/4'' SharkBite Coupling - (PTC x PTC),"SharkBite 1-1/4"" Coupling - (PTC x PTC). MPN UXL0135. Push-fit ends grip copper, PEX or CPVC without solder or a crimp ring, and free up with the tool."
7715770400871,1-1-4-sharkbite-disconnect-clip,SharkBite UXLDC35 1-1/4'' SharkBite Disconnect Clip - (),"SharkBite 1-1/4 in. disconnect clip, MPN UXLDC35. Slides over the fitting collar and releases the grip ring so a 1-1/4 in. push-fit joint comes apart."
7715769974887,1-1-4-sharkbite-end-cap-ptc,SharkBite UXL0435 1-1/4'' SharkBite End Cap - (PTC),"SharkBite 1-1/4 in. end cap, MPN UXL0435. Push-to-connect cap closing off copper, PEX or CPVC for a test or a dead leg; pulls off with a clip."
7715770105959,1-1-4-sharkbite-female-adapter-fip-x-ptc,SharkBite UXL113532F 1-1/4'' SharkBite Female Adapter - (FIP x PTC),"SharkBite 1-1/4"" Female Adapter - (FIP x PTC). MPN UXL113532F. No torch, no crimp ring: push to the depth mark."
7715770138727,1-1-4-sharkbite-male-adapter-mip-x-ptc,SharkBite UXL113532M 1-1/4'' SharkBite Male Adapter - (MIP x PTC),"SharkBite 1-1/4"" Male Adapter - (MIP x PTC). MPN UXL113532M. One fitting covers copper, PEX and CPVC, which cuts what has to ride on the truck."
7715770073191,1-1-4-sharkbite-tee-ptc-x-ptc-x-ptc,"SharkBite UXL0835 1-1/4"" SharkBite Tee - (PTC x PTC x PTC)","SharkBite 1-1/4"" Tee - (PTC x PTC x PTC). MPN UXL0835. The O-ring and stainless teeth do the work, so the joint is made by hand and can be opened later."
7715532931175,1-1-4-watergate-tool-bagged,"Mill Rose 77015 1-1/4"" WATERGATE TOOL-BAGGED","Mill Rose Water-Gate tool for 1-1/4 in. copper, MPN 77015. Soldering aid for a 1-1/4 in. line that will not drain dry before the joint has to be made up."
7715530735719,1-1-4id-ftg-brush-6100-series,"Mill Rose 61500 1-1/4""ID,FTG.BRUSH,6100 SERIES","Mill Rose 6100 Series fitting brush, 1-1/4 in. ID copper fittings, MPN 61500. Wire bristles scour the socket to bright metal so solder draws in."
