Handle,Variant SKU,vendor_ATUAL,vendor_SUGERIDO,motivo,productType
1-8-black-iron-elbow-45,BLIF-018-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-8-black-iron-elbow-90,BLIF-018-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-8-black-iron-cap,BLIF-018-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-8-black-iron-coupling,BLIF-018-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-8-black-iron-plug,BLIF-018-PLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-8-black-iron-elbow-90-street,BLIF-018-ST90,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-8-black-iron-tee,BLIF-018-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-black-iron-elbow-45,BLIF-025-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-black-iron-elbow-90,BLIF-025-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-black-iron-cap,BLIF-025-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-black-iron-coupling,BLIF-025-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-black-iron-plug,BLIF-025-PLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-black-iron-elbow-90-street,BLIF-025-ST90,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-black-iron-tee,BLIF-025-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-x-1-8-black-iron-bushing,BLIF-025.018-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-4-x-1-8-black-iron-coupling,BLIF-025.018-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-black-iron-elbow-45,BLIF-038-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-black-iron-elbow-90,BLIF-038-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-black-iron-cap,BLIF-038-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-black-iron-coupling,BLIF-038-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-black-iron-plug,BLIF-038-PLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-black-iron-elbow-90-street,BLIF-038-ST90,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-black-iron-tee,BLIF-038-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-black-iron-union,BLIF-038-UNI,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-x-1-8-black-iron-bushing,BLIF-038.018-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-x-1-8-black-iron-coupling,BLIF-038.018-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-x-1-4-black-iron-bushing,BLIF-038.025-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
3-8-x-1-4-black-iron-coupling,BLIF-038.025-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-elbow-45,BLIF-050-45EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-elbow-90,BLIF-050-90EL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-cap,BLIF-050-CAP,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-coupling,BLIF-050-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-floor-flange,BLIF-050-FFLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-plug,BLIF-050-PLG,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-elbow-45-street,BLIF-050-ST45,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-elbow-90-street,BLIF-050-ST90,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-tee,BLIF-050-TEE,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-black-iron-union,BLIF-050-UNI,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-x-1-8-black-iron-bushing,BLIF-050.018-BSH,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
1-2-x-1-8-black-iron-coupling,BLIF-050.018-CPL,Mueller Streamline,(desconhecido - preencher),Mueller Streamline nao tem linha de ferro preto - conexao,Black Iron Fittings
