Handle,Command,Body HTML
10-in-x-10-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD10X10TZ/U is a 10 in. x 10 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 10 in. x 10 in. size. Because the opening is square there is no mirrored part number to confuse it with &mdash; on rectangular ZD dampers Resideo mounts the actuator on the second dimension, so a ZD10X16TZ and a ZD16X10TZ are the same opening with the motor on different sides. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD10X10TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
10-in-x-12-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD10X12TZ/U is a 10 in. x 12 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 10 in. x 12 in. size, and the actuator mounts on the 12 in. side, because Resideo always puts it on the second dimension &mdash; a ZD12X10TZ is the same opening with the motor on the 10 in. side. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD10X12TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
10-in-x-14-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD10X14TZ/U is a 10 in. x 14 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 10 in. x 14 in. size, and the actuator mounts on the 14 in. side, because Resideo always puts it on the second dimension &mdash; a ZD14X10TZ is the same opening with the motor on the 10 in. side. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD10X14TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
10-in-x-16-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD10X16TZ/U is a 10 in. x 16 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 10 in. x 16 in. size, and the actuator mounts on the 16 in. side, because Resideo always puts it on the second dimension &mdash; a ZD16X10TZ is the same opening with the motor on the 10 in. side. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD10X16TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
10-in-x-18-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD10X18TZ/U is a 10 in. x 18 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 10 in. x 18 in. size, and the actuator mounts on the 18 in. side, because Resideo always puts it on the second dimension &mdash; a ZD18X10TZ is the same opening with the motor on the 10 in. side. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD10X18TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
10-in-x-20-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD10X20TZ/U is a 10 in. x 20 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 10 in. x 20 in. size, and the actuator mounts on the 20 in. side, because Resideo always puts it on the second dimension &mdash; a ZD20X10TZ is the same opening with the motor on the 10 in. side. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD10X20TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
12-in-x-12-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD12X12TZ/U is a 12 in. x 12 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 12 in. x 12 in. size. Because the opening is square there is no mirrored part number to confuse it with &mdash; on rectangular ZD dampers Resideo mounts the actuator on the second dimension, so a ZD12X20TZ and a ZD20X12TZ are the same opening with the motor on different sides. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD12X12TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
12-in-x-14-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD12X14TZ/U is a 12 in. x 14 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 12 in. x 14 in. size, and the actuator mounts on the 14 in. side, because Resideo always puts it on the second dimension &mdash; a ZD14X12TZ is the same opening with the motor on the 12 in. side. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD12X14TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
12-in-x-20-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD12X20TZ/U is a 12 in. x 20 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 12 in. x 20 in. size, and the actuator mounts on the 20 in. side, because Resideo always puts it on the second dimension &mdash; a ZD20X12TZ is the same opening with the motor on the 12 in. side. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD12X20TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
14-in-x-10-in-parallel-blade-damper,UPDATE,"<p>The Resideo ZD14X10TZ/U is a 14 in. x 10 in. motorized zone damper for forced-air systems. It installs in the branch duct serving one zone and opens or closes that branch on a call from the zone panel, so a single furnace or air handler can hold different temperatures in different parts of a building.</p>
<p><strong>Power close, spring open.</strong> The 24 Vac motor drives the blades closed when it is energized, and a spring returns them open when power is removed. That makes the ZD fail-safe normally open: if the panel loses power or a wire opens, the branch stays open and the zone keeps getting air instead of being shut off. The ZD cannot be field-converted to power open &mdash; for fresh-air applications the round EARD is the power-open part, and the round ARD converts with an M847D-VENT actuator.</p>
<p><strong>Sizing and orientation.</strong> Order by the duct opening, not by the room. This is the 14 in. x 10 in. size, and the actuator mounts on the 10 in. side, because Resideo always puts it on the second dimension &mdash; a ZD10X14TZ is the same opening with the motor on the 14 in. side. Every ZD is built 5/32 in. under its listed size so it drops into nominal duct, and all ZD models are 4 in. thick. The damper can be installed in any orientation, with the mounting side on the bottom or the side of the duct.</p>
<p><strong>Electrical and performance.</strong> 24 Vac, 60 Hz, 8 VA. Two-wire hookup on push terminals; solid wire is recommended rather than stranded. A third wire, option M4, drives an LED open light. Nominal rotation is 90 degrees with a minimum 71 in.-oz. (500 mN&middot;m) output torque. At 77 &deg;F the motor drives closed in about 30 seconds and the spring return takes about 10 seconds. Ambient rating is 40 to 140 &deg;F. Leakage is under 1% at 1/2 in. wc, maximum static pressure is 1 in. wc, and pressure drop wide open is 0.0329 in. wc at 800 ft/min.</p>
<p><strong>Build.</strong> Extruded aluminum frame and blades, all-metal drive train gears and high-temperature outer plastic, with a taping flange and a non-interfering set screw. The parallel blade geometry is what keeps leakage low. A front-facing display with an LED shows open and closed at a glance, and adjustable closed-position range stops let you leave a minimum bleed through the branch instead of shutting it dead.</p>
<p><strong>Replacement actuator:</strong> M847D-ZONE. Works with TrueZONE panels and other 24 Vac electronic zoning systems.</p>
<ul>
<li><strong>Brand:</strong> Resideo</li>
<li><strong>Manufacturer Part #:</strong> ZD14X10TZ/U</li>
<li><strong>Category:</strong> Zone Dampers</li>
</ul>"
