product_id,handle,sku,preco,descricao_anterior_resumo,observacao
7715751493735,10-in-x-10-in-parallel-blade-damper,HONE-ZD10X10TZ/U,198.94,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> ZD10X10TZ/U</li>
</ul>",descricao gerada pelo pipeline de import a partir do titulo
7715751559271,10-in-x-12-in-parallel-blade-damper,HONE-ZD10X12TZ/U,204.76,<p>The 10 in x 12 in Parallel Blade Damper by Resideo is part of our zone dampers selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751592039,10-in-x-14-in-parallel-blade-damper,HONE-ZD10X14TZ/U,209.15,<p>The 10 in x 14 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751624807,10-in-x-16-in-parallel-blade-damper,HONE-ZD10X16TZ/U,214.97,<p>The 10 in x 16 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751657575,10-in-x-18-in-parallel-blade-damper,HONE-ZD10X18TZ/U,232.38,bullets only,descricao gerada pelo pipeline de import a partir do titulo
7715751690343,10-in-x-20-in-parallel-blade-damper,HONE-ZD10X20TZ/U,223.71,<p>The 10 in x 20 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751723111,12-in-x-12-in-parallel-blade-damper,HONE-ZD12X12TZ/U,264.41,bullets only,descricao gerada pelo pipeline de import a partir do titulo
7715751755879,12-in-x-14-in-parallel-blade-damper,HONE-ZD12X14TZ/U,227.75,<p>The 12 in x 14 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751788647,12-in-x-20-in-parallel-blade-damper,HONE-ZD12X20TZ/U,267.34,bullets only,descricao gerada pelo pipeline de import a partir do titulo
7715751821415,14-in-x-10-in-parallel-blade-damper,HONE-ZD14X10TZ/U,209.15,<p>The 14 in x 10 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751854183,14-in-x-12-in-parallel-blade-damper,HONE-ZD14X12TZ/U,227.75,bullets only,descricao gerada pelo pipeline de import a partir do titulo
7715751886951,16-in-x-12-in-parallel-blade-damper,HONE-ZD16X12TZ/U,258.78,<p>The 16 in x 12 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751919719,16-in-x-8-in-parallel-blade-damper,HONE-ZD16X8TZ/U,257.20,<p>The 16 in x 8 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751952487,18-in-x-10-in-parallel-blade-damper,HONE-ZD18X10TZ/U,232.38,<p>The 18 in x 10 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715751985255,20-in-x-10-in-parallel-blade-damper,HONE-ZD20X10TZ/U,223.71,<p>The 20 in x 10 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715752018023,20-in-x-12-in-parallel-blade-damper,HONE-ZD20X12TZ/U,228.83,<p>The 20 in x 12 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715752050791,20-in-x-8-in-parallel-blade-damper,HONE-ZD20X8TZ/U,207.69,<p>The 20 in x 8 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715752083559,24-in-x-10-in-parallel-blade-damper,HONE-ZD24X10TZ/U,273.31,<p>The 24 in x 10 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
7715752116327,8-in-x-20-in-parallel-blade-damper,HONE-ZD8X20TZ/U,207.69,<p>The 8 in x 20 in ... selection.</p>+bullets,descricao gerada pelo pipeline de import a partir do titulo
