handle,modelo,tipo,title,chars_antes,descricao_anterior
120-vac-1-2-in-flare-diverting-quickfit-zone-valve,V4044A1001,2-Way Zone Valve,Resideo V4044A1001/U 120 Vac 1/2 in Flare Diverting QuickFit Zone Valve,327,"<p>The 120 Vac 1/2 in Flare Diverting QuickFit Zone Valve by Resideo is part of our 2-way zone valve selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V4044A1001/U</li>
<li>
<strong>UPC:</strong> 085267103787</li>
<li>
<strong>Category:</strong> 2-Way Zone Valve</li>
</ul>"
120-vac-1-2-in-sweat-diverting-quickfit-zone-valve,V4044A1019,2-Way Zone Valve,Resideo V4044A1019/U 120 Vac 1/2 in Sweat Diverting QuickFit Zone Valve,327,"<p>The 120 Vac 1/2 in Sweat Diverting QuickFit Zone Valve by Resideo is part of our 2-way zone valve selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V4044A1019/U</li>
<li>
<strong>UPC:</strong> 085267103794</li>
<li>
<strong>Category:</strong> 2-Way Zone Valve</li>
</ul>"
120-vac-3-4-in-sweat-diverting-quickfit-zone-valve,V4044A1191,2-Way Zone Valve,Resideo V4044A1191/U 120 Vac 3/4 in Sweat Diverting QuickFit Zone Valve,282,"<p>The 120 Vac 3/4 in Sweat Diverting QuickFit Zone Valve by Resideo is part of our 2-way zone valve selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V4044A1191/U</li>
<li>
<strong>Category:</strong> 2-Way Zone Valve</li>
</ul>"
120-vac-npt-n-c-zone-valve,V4043A1705,2-Way Zone Valve,Resideo V4043A1705/U 120 Vac NPT N.C. Zone Valve,304,"<p>The 120 Vac NPT N.C. Zone Valve by Resideo is part of our 2-way zone valve selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V4043A1705/U</li>
<li>
<strong>UPC:</strong> 085267812375</li>
<li>
<strong>Category:</strong> 2-Way Zone Valve</li>
</ul>"
120-vac-sweat-n-c-zone-valve,V4043A1010,2-Way Zone Valve,Resideo V4043A1010/U 120 Vac Sweat N.C. Zone Valve,261,"<p>The 120 Vac Sweat N.C. Zone Valve by Resideo is part of our 2-way zone valve selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V4043A1010/U</li>
<li>
<strong>Category:</strong> 2-Way Zone Valve</li>
</ul>"
2-position-actuator-for-vu52-no-and-vu54-valve-bodies-24-v-50-60-hz,VU842A1046,Zone Valve Replacement Heads,"Resideo VU842A1046/U 2-position Actuator for VU52 NO and VU54 Valve Bodies, 24 V, 50/60 Hz",370,"<p>The 2-position Actuator for VU52 NO and VU54 Valve Bodies, 24 V, 50/60 Hz by Resideo is part of our zone valve replacement heads selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VU842A1046/U</li>
<li>
<strong>UPC:</strong> 085267328319</li>
<li>
<strong>Category:</strong> Zone Valve Replacement Heads</li>
</ul>"
2-position-low-volt-actuator-for-vc-series-valve,VC2114ZZ11,Zone Valve Replacement Heads,Resideo 2-position Low Volt Actuator for VC Series valve VC2114ZZ11/U,349,"<p>The 2-position Low Volt Actuator for VC Series valve by Resideo is part of our zone valve replacement heads selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VC2114ZZ11/U</li>
<li>
<strong>UPC:</strong> 085267817578</li>
<li>
<strong>Category:</strong> Zone Valve Replacement Heads</li>
</ul>"
2-position-low-volt-actuator-for-vc-series-valve-hone-vc2714zz11-u,VC2714ZZ11,Zone Valve Replacement Heads,Resideo 2-position Low Volt Actuator for VC Series valve VC2714ZZ11/U,349,"<p>The 2-position Low Volt Actuator for VC Series valve by Resideo is part of our zone valve replacement heads selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VC2714ZZ11/U</li>
<li>
<strong>UPC:</strong> 085267823609</li>
<li>
<strong>Category:</strong> Zone Valve Replacement Heads</li>
</ul>"
2-position-low-volt-actuator-for-vc-series-valve-hone-vc8110zz32-u,VC8110ZZ32,Zone Valve Replacement Heads,Resideo VC8110ZZ32/U 2-position Low Volt Actuator for VC Series Valve,451,"<p>The 2-position Low Volt Actuator for VC Series Valve by Resideo is part of our zone valve replacement heads selection, in stock and ready to ship from The House Supplier.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VC8110ZZ32/U</li>
<li>
<strong>UPC:</strong> 085267832250</li>
<li>
<strong>Category:</strong> Zone Valve Replacement Heads</li>
<li>
<strong>Availability:</strong> In stock</li>
</ul>"
2-position-low-volt-actuator-for-vc-series-with-end-switch,VC8711ZZ11,Zone Valve Replacement Heads,Resideo 2-position Low Volt Actuator for VC Series with End Switch VC8711ZZ11/U,359,"<p>The 2-position Low Volt Actuator for VC Series with End Switch by Resideo is part of our zone valve replacement heads selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VC8711ZZ11/U</li>
<li>
<strong>UPC:</strong> 085267815154</li>
<li>
<strong>Category:</strong> Zone Valve Replacement Heads</li>
</ul>"
